aphWoo1#REF#scaffold_104	677767
aphWoo1#REF#scaffold_1040	1000
aphWoo1#REF#scaffold_1041	1000
aphWoo1#REF#scaffold_1042	1000
aphWoo1#REF#scaffold_1045	1000
aphWoo1#REF#scaffold_1047	1000
aphWoo1#REF#scaffold_1048	1000
aphWoo1#REF#scaffold_1049	1000
aphWoo1#REF#scaffold_105	673542
aphWoo1#REF#scaffold_1050	1000
aphWoo1#REF#scaffold_1051	1000
aphWoo1#REF#scaffold_1053	1000
aphWoo1#REF#scaffold_1055	1000
aphWoo1#REF#scaffold_107	649000
aphWoo1#REF#scaffold_110	619372
aphWoo1#REF#scaffold_111	610582
aphWoo1#REF#scaffold_112	608917
aphWoo1#REF#scaffold_114	599025
aphWoo1#REF#scaffold_115	596698
aphWoo1#REF#scaffold_117	587255
aphWoo1#REF#scaffold_118	578271
